ticket_id,user_id,created_at,updated_at,status_label,topic_label,summary,channel_label,escalated_to_whatsapp,escalation_type,resolved,messages_count,user_messages,assistant_messages,system_messages,assistant_confidence_avg,screen_label_display,satisfaction_resolved,satisfaction_rating,satisfaction_comment,key
13,1911,2026-03-19T22:12:54.790410,2026-03-19T22:24:07.504483,Abierto,Manual usuario técnico estudiantes,Olvidé mi contraseña y no me llega el correo para recuperarla.,Sin canal final,False,,False,6,3,3,0,1.0,Dashboard estudiante,,,,support/conversations/latest/ticket-13.json
14,1911,2026-03-19T22:35:04.770470,2026-03-19T22:39:48.048392,Abierto,Acceso / login,El asistente no me resolvió el problema: ¿cómo hablo con una persona y qué datos debo enviar?,Sin canal final,False,,False,12,6,6,0,1.0,Dashboard estudiante,,,,support/conversations/latest/ticket-14.json
15,1911,2026-03-19T22:46:06.206626,2026-03-19T22:46:22.445833,Abierto,Contacto humano,El asistente no me resolvió el problema: ¿cómo hablo con una persona y qué datos debo enviar?,Sin canal final,True,Automático o sugerido por IA,False,2,1,1,0,0.99,Dashboard estudiante,,,,support/conversations/latest/ticket-15.json
16,3146,2026-03-23T21:36:48.158347,2026-03-23T21:39:30.195047,Cerrado,Manual usuario técnico estudiantes,"Muy buenas tardes, cordial saludo. Necesito por favor me informe, como puedo cambiar el correo electrónico en la plataforma.",WhatsApp,True,Manual desde widget,True,3,1,1,1,1.0,Sin pantalla registrada,True,5,,support/conversations/latest/ticket-16.json
17,1982,2026-03-27T16:25:36.030940,2026-03-27T16:25:52.318678,Abierto,Manual usuario técnico estudiantes,Que hay que hacer en este foro,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-17.json
18,4608,2026-03-27T19:29:03.201895,2026-03-27T19:29:19.473034,Abierto,Progreso,No estoy entendiendo nada,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-18.json
19,2042,2026-03-27T22:25:39.933158,2026-03-27T22:25:56.200128,Abierto,Manual usuario técnico estudiantes,Deseo ingresar a dar solución a las preguntas y no me deja,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-19.json
20,3801,2026-03-27T23:27:23.251889,2026-03-27T23:28:21.755535,Escalado a WhatsApp,Manual usuario técnico estudiantes,Ya entre,WhatsApp,True,Manual desde widget,False,5,2,2,1,0.75,Foro del estudiante,,,,support/conversations/latest/ticket-20.json
21,3868,2026-03-27T23:41:38.413520,2026-03-27T23:43:08.924651,Cerrado,Manual usuario técnico estudiantes,"Buenas noches, me puedes decir que debo de  hacer exactamente en este nodo?. Agradeceria me sacara de esta duda",WhatsApp,True,Manual desde widget,False,3,1,1,1,1.0,Sin pantalla registrada,False,1,,support/conversations/latest/ticket-21.json
22,3868,2026-03-27T23:43:27.519436,2026-03-27T23:43:43.548686,Abierto,Plan de negocio técnico,No me sacaron de la duda,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-22.json
23,3057,2026-03-28T00:49:26.604403,2026-03-28T00:53:39.574629,Cerrado,Saludo,Ok,WhatsApp,True,Automático o sugerido por IA,True,6,3,3,0,0.667,Sin pantalla registrada,True,3,,support/conversations/latest/ticket-23.json
24,3057,2026-03-28T01:07:31.823997,2026-03-28T01:08:23.423752,Cerrado,Saludo,Ya lo hice,IA,True,Automático o sugerido por IA,True,2,1,1,0,0.667,Sin pantalla registrada,True,2,,support/conversations/latest/ticket-24.json
25,1849,2026-03-28T01:08:06.475900,2026-03-28T01:09:14.218108,Cerrado,Manual usuario técnico estudiantes,Estaba resolviendo la las preguntas Qué vas a hacer exactamente? 2. ¿Por qué crees que esto le dará un impulso o ayudará a tu negocio? 3. ¿Qué resultado esperas obtener? Y se salió y no me aparece,WhatsApp,True,Manual desde widget,True,3,1,1,1,1.0,Sin pantalla registrada,True,5,,support/conversations/latest/ticket-25.json
26,684,2026-03-28T02:30:39.008572,2026-03-28T02:30:55.281695,Abierto,Manual usuario técnico estudiantes,Como elimino una respuesta del hilo,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-26.json
27,1126,2026-03-28T17:37:13.992207,2026-03-28T17:38:32.305212,Abierto,Módulos,"Necesito abrir el foro para resolver las preguntas y no ,e de",Sin canal final,False,,False,4,2,2,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-27.json
28,344,2026-03-28T19:13:59.568169,2026-03-28T19:14:15.968565,Abierto,Manual usuario técnico estudiantes,Qué tengo que hacer en el foro,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-28.json
29,4266,2026-03-28T21:35:29.791798,2026-03-28T21:36:48.752934,Abierto,Progreso,No,Sin canal final,False,,False,4,2,2,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-29.json
30,1938,2026-03-29T00:31:58.559089,2026-03-29T00:38:02.574091,Escalado a WhatsApp,Acceso / login,"no quiero cambiar la contraseña, solo quiero participar en el foro",WhatsApp,True,Manual desde widget,False,5,2,2,1,1.0,Sin pantalla registrada,,,,support/conversations/latest/ticket-30.json
31,1857,2026-03-29T02:55:04.023790,2026-03-29T02:55:15.904515,Escalado a WhatsApp,Saludo,Hola,WhatsApp,True,Manual desde widget,False,3,1,1,1,1.0,Sin pantalla registrada,,,,support/conversations/latest/ticket-31.json
32,4198,2026-03-29T03:08:25.536029,2026-03-29T03:11:35.648648,Escalado a WhatsApp,Progreso,No entiendo,WhatsApp,True,Manual desde widget,False,3,1,1,1,1.0,Sin pantalla registrada,,,,support/conversations/latest/ticket-32.json
33,1981,2026-03-29T13:28:13.216273,2026-03-29T13:28:29.577358,Abierto,Módulos,No puedo responder,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-33.json
34,151,2026-03-29T17:43:46.172483,2026-03-29T17:44:02.595293,Abierto,Manual usuario técnico estudiantes,"Hola por que no me deja responder las preguntas 
?",Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-34.json
35,1938,2026-03-29T22:48:09.063487,2026-03-29T22:48:25.412811,Abierto,Manual usuario técnico estudiantes,"No me fue posible responder a ninguna de las preguntas, solamente formule una pregunta. Intenté desde el computador y celular, desde el celular no pude leer las preguntas de otros compañeros.",Sin canal final,False,,False,2,1,1,0,0.935,Foro del estudiante,,,,support/conversations/latest/ticket-35.json
36,837,2026-03-30T00:46:32.980373,2026-03-30T00:46:49.344946,Abierto,Manual usuario técnico estudiantes,No se dónde dar mi respuesta para el foro,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-36.json
37,3114,2026-03-30T01:08:34.071866,2026-03-30T01:08:50.475549,Abierto,Manual usuario técnico estudiantes,Hola buenas noches no puedo responder en el foro q puedo hacer,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-37.json
38,3358,2026-03-30T01:53:54.549431,2026-03-30T01:54:11.193586,Abierto,Desbloqueo,Hola buenas noches no me abre ningun recuadro para responder la pregunta del foro,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-38.json
39,3716,2026-03-30T02:53:36.495121,2026-03-30T02:53:52.846975,Abierto,Manual usuario técnico estudiantes,"Como elimino una pregunta? Ya que es una respuesta, gracias",Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-39.json
40,2598,2026-03-30T04:04:46.452020,2026-03-30T04:07:42.659191,Cerrado,Manual usuario técnico estudiantes,"Cuando escribo en el foro me aparecere registrada otra fecha de envio, respondi el dia hoy 29 de marzo y me aparece que respondi el 30 de marzo",WhatsApp,True,Manual desde widget,False,3,1,1,1,1.0,Sin pantalla registrada,False,2,Estoy a la espera de respuesta al requerimiento,support/conversations/latest/ticket-40.json
41,3743,2026-03-30T04:11:30.415934,2026-03-30T04:11:46.783058,Abierto,Dashboard,Como borrar mi pregunta,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-41.json
42,3743,2026-03-30T04:15:38.342243,2026-03-30T04:15:54.494788,Abierto,Manual usuario técnico estudiantes,Como responder en el foro,Sin canal final,False,,False,2,1,1,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-42.json
43,3743,2026-03-30T04:21:51.650111,2026-03-30T04:22:48.650646,Abierto,Dashboard,Donde veo mi foro?,Sin canal final,False,,False,4,2,2,0,1.0,Foro del estudiante,,,,support/conversations/latest/ticket-43.json
44,43,2026-04-06T16:06:54.824965,2026-04-06T16:07:11.110928,Abierto,Perfil,como cambio la foto de perfil?,Sin canal final,False,,False,2,1,1,0,1.0,Dashboard estudiante,,,,support/conversations/latest/ticket-44.json
